/vout X,/vout Y,/I5/PM0/D X,/I5/PM0/D Y
0,1.1998891632128,0,1.252984272078275e-13
1.861670655287675e-12,1.20025030674499,1.861670655287675e-12,3.539811347280501e-08
2.72724024853231e-12,1.200394424502121,2.72724024853231e-12,3.015886070243304e-08
4.458379435021578e-12,1.200637017483952,4.458379435021578e-12,2.154964652797085e-08
7.466379789456037e-12,1.200928601010278,7.466379789456037e-12,1.170818165692963e-08
1.020501652063771e-11,1.201090303209852,1.020501652063771e-11,6.594058340269737e-09
1.23064984099994e-11,1.201168852217559,1.23064984099994e-11,4.303944436835079e-09
1.450988406875282e-11,1.201224701289686,1.450988406875282e-11,2.810399142692248e-09
1.693694855577818e-11,1.201266590569636,1.693694855577818e-11,1.813765977691185e-09
1.976634744512795e-11,1.201299467790722,1.976634744512795e-11,1.158947566731531e-09
2.32098077431592e-11,1.201325736805154,2.32098077431592e-11,7.728142737855809e-10
2.747504779687285e-11,1.201346405832175,2.747504779687285e-11,6.119228260494714e-10
3.291245961177362e-11,1.201362363534059,3.291245961177362e-11,6.300196441720832e-10
3.986621631746519e-11,1.201373264725974,3.986621631746519e-11,7.857155295888632e-10
4.903421876615851e-11,1.201377128991437,4.903421876615851e-11,1.060007631529353e-09
6.162286838336523e-11,1.20136643657413,6.162286838336523e-11,1.496330080836058e-09
7.695896052484804e-11,1.201327579574188,7.695896052484804e-11,2.151029731479096e-09
9.274500801336603e-11,1.201253375275255,9.274500801336603e-11,2.967284026043637e-09
1.103077803985695e-10,1.201114811394626,1.103077803985695e-10,4.299342477975145e-09
1.288066043462447e-10,1.200883413461831,1.288066043462447e-10,6.236014075073475e-09
1.475826675458256e-10,1.200528214328403,1.475826675458256e-10,8.879341143484163e-09
1.647899718850948e-10,1.200065738958211,1.647899718850948e-10,1.199599272412849e-08
1.810407530464376e-10,1.199470070534249,1.810407530464376e-10,1.541434195161717e-08
1.95264749070334e-10,1.198811477314053,1.95264749070334e-10,1.911904694761988e-08
2.151352145264234e-10,1.197671080887822,2.151352145264234e-10,2.533315120296338e-08
2.349069979758791e-10,1.19627460881203,2.349069979758791e-10,3.250812745528966e-08
2.542570748432485e-10,1.194667380236411,2.542570748432485e-10,4.07088671609706e-08
