/vout X,/vout Y,/dac_out X,/dac_out Y,/I5/PM0/D X,/I5/PM0/D Y,/I5/vbody X,/I5/vbody Y
0,0.9978444984753979,0,0,0,-8.303646494649128e-19,0,0.9978384661277189
1.861670655287675e-12,0.9982252492562511,1.861670655287675e-12,0,1.861670655287675e-12,-2.618726890408223e-08,1.861670655287675e-12,0.9982599840045774
2.689899595300665e-12,0.998370421803104,2.689899595300665e-12,0,2.689899595300665e-12,-2.790503145939396e-08,2.689899595300665e-12,0.9984361011736455
4.346357475326644e-12,0.9986116592521731,4.346357475326644e-12,0,4.346357475326644e-12,-2.985078020285093e-08,4.346357475326644e-12,0.9987607891149246
6.946417860969938e-12,0.9988719156029908,6.946417860969938e-12,0,6.946417860969938e-12,-3.049376460009628e-08,6.946417860969938e-12,0.9991974297451999
9.456597707562123e-12,0.9990245342510048,9.456597707562123e-12,0,9.456597707562123e-12,-2.971592167580242e-08,9.456597707562123e-12,0.999554880826007
1.141004413796617e-11,0.9990974606070971,1.141004413796617e-11,0,1.141004413796617e-11,-2.856887281786193e-08,1.141004413796617e-11,0.9998009245393054
1.346184755070337e-11,0.9991470249677755,1.346184755070337e-11,0,1.346184755070337e-11,-2.716691516808543e-08,1.346184755070337e-11,1.000037832617719
1.572429456376151e-11,0.9991817725069655,1.572429456376151e-11,0,1.572429456376151e-11,-2.558484809582075e-08,1.572429456376151e-11,1.000280112313505
1.835006702970829e-11,0.9992063021283298,1.835006702970829e-11,0,1.835006702970829e-11,-2.38305821216961e-08,1.835006702970829e-11,1.000542028395965
2.153358091320425e-11,0.9992229612163349,2.153358091320425e-11,0,2.153358091320425e-11,-2.190420216911343e-08,2.153358091320425e-11,1.000837153866023
2.54682466577685e-11,0.9992329492976257,2.54682466577685e-11,0,2.54682466577685e-11,-1.984360963002244e-08,2.54682466577685e-11,1.001173355779891
3.047207410790864e-11,0.9992375643491714,3.047207410790864e-11,0,3.047207410790864e-11,-1.758574526595892e-08,3.047207410790864e-11,1.001562024160245
3.687603379560839e-11,0.9992378645217396,3.687603379560839e-11,0,3.687603379560839e-11,-1.522629855861016e-08,3.687603379560839e-11,1.00200350326651
4.535595533620581e-11,0.9992347435451926,4.535595533620581e-11,0,4.535595533620581e-11,-1.267517662620471e-08,4.535595533620581e-11,1.002502523598593
5.6977707474763e-11,0.9992283924109051,5.6977707474763e-11,0,5.6977707474763e-11,-9.773944078531994e-09,5.6977707474763e-11,1.003045777539078
7.17313632597048e-11,0.9992189031140922,7.17313632597048e-11,0,7.17313632597048e-11,-6.52484152133654e-09,7.17313632597048e-11,1.003520346230271
8.678383056607631e-11,0.9992074585881967,8.678383056607631e-11,0,8.678383056607631e-11,-3.242701435926784e-09,8.678383056607631e-11,1.00375795168577
1.034234864622864e-10,0.9991908717516681,1.034234864622864e-10,0,1.034234864622864e-10,8.14718741249195e-10,1.034234864622864e-10,1.003701464029087
1.225297235555131e-10,0.9991629551002997,1.225297235555131e-10,0,1.225297235555131e-10,6.581292087320688e-09,1.225297235555131e-10,1.003133072933479
1.452633938076633e-10,0.9991124209852091,1.452633938076633e-10,0,1.452633938076633e-10,1.548372762384445e-08,1.452633938076633e-10,1.00155454984644
1.744929350867299e-10,0.9990059150119662,1.744929350867299e-10,0,1.744929350867299e-10,3.136902327153912e-08,1.744929350867299e-10,0.9975275648421587
2.066957333388573e-10,0.998820985100157,2.066957333388573e-10,0,2.066957333388573e-10,5.525956075310028e-08,2.066957333388573e-10,0.9895390691623523
2.433216696857969e-10,0.9985317596057401,2.433216696857969e-10,0,2.433216696857969e-10,8.812640240892421e-08,2.433216696857969e-10,0.9746685265943712
2.605200502924741e-10,0.998368389465622,2.605200502924741e-10,0,2.605200502924741e-10,1.045787692586748e-07,2.605200502924741e-10,0.9652736320285061
2.624361742455593e-10,0.9983486592774112,2.624361742455593e-10,0,2.624361742455593e-10,1.064556078700565e-07,2.624361742455593e-10,0.9641269402208287
2.630998326956333e-10,0.998341783282773,2.630998326956333e-10,0,2.630998326956333e-10,1.070866310570876e-07,2.630998326956333e-10,0.9637248191402235
2.644271495957812e-10,0.9983280414502972,2.644271495957812e-10,0,2.644271495957812e-10,1.083396045786378e-07,2.644271495957812e-10,0.9629124538581321
2.670817833960772e-10,0.9983006071185876,2.670817833960772e-10,0,2.670817833960772e-10,1.108357278395558e-07,2.670817833960772e-10,0.961254651874767
2.723910509966691e-10,0.9982457140505776,2.723910509966691e-10,0,2.723910509966691e-10,1.157067945277868e-07,2.723910509966691e-10,0.9578045111827064
2.83009586197853e-10,0.9981350021718844,2.83009586197853e-10,0,2.83009586197853e-10,1.253846879408232e-07,2.83009586197853e-10,0.950350073635244
3.042466566002208e-10,0.99790795711318,3.042466566002208e-10,0,3.042466566002208e-10,1.432333918176769e-07,3.042466566002208e-10,0.933065727736783
3.342389652252529e-10,0.9975642837810197,3.342389652252529e-10,0,3.342389652252529e-10,1.63249068418449e-07,3.342389652252529e-10,0.9024313337715207
3.601144516975519e-10,0.9972350547567214,3.601144516975519e-10,0,3.601144516975519e-10,1.787846546929565e-07,3.601144516975519e-10,0.8689961335716858
3.856474669325347e-10,0.9968835709319789,3.856474669325347e-10,0,3.856474669325347e-10,2.052431119117966e-07,3.856474669325347e-10,0.8286936941088738
4.195330882751005e-10,0.9963736706509996,4.195330882751005e-10,0,4.195330882751005e-10,2.614452497175865e-07,4.195330882751005e-10,0.7628411936221721
4.473249875668179e-10,0.9959648266598224,4.473249875668179e-10,0,4.473249875668179e-10,3.161869725255328e-07,4.473249875668179e-10,0.6994168463957318
4.69781063014611e-10,0.99571276523603,4.69781063014611e-10,0,4.69781063014611e-10,3.768141506359915e-07,4.69781063014611e-10,0.6445504415798882
4.864481009470837e-10,0.9955747139746672,4.864481009470837e-10,0,4.864481009470837e-10,5.037491881230385e-07,4.864481009470837e-10,0.603384974182395
4.988957744090934e-10,0.9954666825570306,4.988957744090934e-10,0,4.988957744090934e-10,7.79275192853058e-07,4.988957744090934e-10,0.5732527647642345
5.117453841022202e-10,0.995279973345882,5.117453841022202e-10,0,5.117453841022202e-10,1.503134143662688e-06,5.117453841022202e-10,0.5437384520438999
5.212169454830762e-10,0.995029118128511,5.212169454830762e-10,0,5.212169454830762e-10,2.58748219830508e-06,5.212169454830762e-10,0.5238148661217089
5.287619614025117e-10,0.994717331894387,5.287619614025117e-10,0,5.287619614025117e-10,3.921777097414033e-06,5.287619614025117e-10,0.5096331946514113
5.358608775556461e-10,0.9943111465924991,5.358608775556461e-10,0,5.358608775556461e-10,5.551552803419081e-06,5.358608775556461e-10,0.4980883581155433
5.438863749822505e-10,0.9937254702903413,5.438863749822505e-10,0,5.438863749822505e-10,7.659522154494697e-06,5.438863749822505e-10,0.4874303456450451
5.524487475678221e-10,0.9929977744061093,5.524487475678221e-10,0,5.524487475678221e-10,9.908729070128224e-06,5.524487475678221e-10,0.4787729316735332
5.594872596922077e-10,0.9923640044704345,5.594872596922077e-10,0,5.594872596922077e-10,1.155862051056827e-05,5.594872596922077e-10,0.4734472588997428
5.660059096668177e-10,0.9917774865528571,5.660059096668177e-10,0,5.660059096668177e-10,1.286631098224452e-05,5.660059096668177e-10,0.469624509123627
5.730882073872588e-10,0.9911573406905921,5.730882073872588e-10,0,5.730882073872588e-10,1.407116463779727e-05,5.730882073872588e-10,0.4663287617330292
